timestamp,ax,ay,az,gx,gy,gz
0,0.35,-0.20,9.40,0.08,-0.05,0.03
1,-0.40,0.55,10.20,-0.12,0.18,-0.06
2,0.90,0.75,8.30,0.45,0.32,0.18
3,1.25,-0.85,7.90,0.65,-0.40,0.25
4,-1.10,1.05,10.60,-0.55,0.48,-0.20
5,0.70,-0.60,8.75,0.38,-0.30,0.15
6,-0.85,0.40,9.95,-0.42,0.22,-0.12
7,1.40,1.20,7.60,0.72,0.58,0.30
8,-1.55,-1.10,10.90,-0.80,-0.52,-0.28
9,0.95,-1.35,8.10,0.50,-0.68,0.22
10,-0.60,0.90,9.20,-0.35,0.46,-0.16
11,0.25,-0.75,10.35,0.18,-0.38,0.09
12,1.70,0.95,7.25,0.90,0.55,0.35
13,-1.30,1.45,11.10,-0.70,0.75,-0.32
14,0.80,-0.95,8.55,0.44,-0.50,0.19
15,-0.25,0.30,9.70,-0.10,0.14,-0.04
16,1.15,1.60,7.80,0.62,0.82,0.28
17,-1.80,-1.45,11.30,-0.95,-0.78,-0.36
18,0.55,-0.40,8.95,0.30,-0.22,0.11
19,-0.90,0.65,10.45,-0.48,0.34,-0.18
20,1.35,-1.25,7.95,0.76,-0.65,0.27
